name,detail_url,provider_id,ukprn,registered_address,email,telephone,website,achievement_rate,discovered_location
BRAGD LLP,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10040391?location=Birmingham&distance=10,10040391,10040391,"1 George Square, Castle Brae, Dunfermline, KY11 8PL",pam@bragd.co.uk,020 4576 0290,https://www.bragd.co.uk/team-leader/,61.5% national achievement rate,Birmingham
MERCURY TRAINING SERVICES LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10023787?location=Birmingham&distance=10,10023787,10023787,"Office 112, Dudley Court South, Level Street, Brierley Hill, DY5 1XN",paul@mercurytrainme.com,07779162260,https://mercurytrainme.com/team-leader-supervisor/,100%,Birmingham
THE S&A TRANSFORM GROUP LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10088850?location=Birmingham&distance=10,10088850,10088850,"6th Floor, 2 London Wall Place, London, EC2Y 5AU",hello@sandaacademy.ac.uk,0204 551 1997,https://sandaacademy.com/business/,100%,Birmingham
TRANSWORLD PUBLICATIONS SERVICES LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10005268?location=Birmingham&distance=10,10005268,10005268,"The Old Guild House, 1 New Market Street, Birmingham, B3 2NH",contactus@protocolgroup.co.uk,01212362634,http://www.protocolgroup.org.uk,100%,Birmingham
UNIVERSITY COLLEGE BIRMINGHAM,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000712?location=Birmingham&distance=10,10000712,10000712,"Summer Row, Birmingham, B3 1JB",apprenticeships@ucb.ac.uk,01212324091,https://www.ucb.ac.uk,61.5% national achievement rate,Birmingham
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10065854?location=Manchester&distance=10,10065854,10065854,-,apprenticeship.team@mft.nhs.uk,01617010184,https://mft.nhs.uk/hospitals/,61.5% national achievement rate,Manchester
CAMBRIDGE PROFESSIONAL ACADEMY LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10001115?location=Manchester&distance=10,10001115,10001115,"Cherry Orchard, Dysons Drove, Burwell, Cambridge, CB25 0BL",apprenticeships@professionalacademy.com,01223 365505,http://www.professionalacademy.com,0%,Manchester
KIDZ ZONE CLUB LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10088132?location=Manchester&distance=10,10088132,10088132,"15 San Remo Road, Aspley Guise, Milton Keynes, MK17 8JY",dan.grigg@futureapprenticeships.co.uk,01525591036,https://www.future-training.co.uk/,100%,Manchester
PLACES FOR PEOPLE GROUP LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10032542?location=Leeds&distance=10,10032542,10032542,"305 Gray's Inn Road, London, WC1X 8QR",pfpthrive@placesforpeople.co.uk,07501 391691,https://www.placesforpeople.co.uk/pfp-thrive/what-we-offer/apprenticeships/level-3-team-leader/,,Leeds
CROSBY MANAGEMENT TRAINING LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10034952?location=Leeds&distance=10,10034952,10034952,"Technology Centre, Wolverhampton Science Park, Glaisher Drive, Wolverhampton, WV10 9RU",info@crosbytraining.co.uk,01902837452,https://crosbytraining.co.uk/,61.5% national achievement rate,Leeds
THE LEARNING FOUNDRY LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000201?location=Liverpool&distance=10,10000201,10000201,"The Foundry, 42 Henry Street, Liverpool, L1 5AY",workforce@thelearningfoundry.co.uk,03001238088,https://www.thelearningfoundry.co.uk/,61.5% national achievement rate,Liverpool
WIRRAL METROPOLITAN COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10007553?location=Liverpool&distance=10,10007553,10007553,"Conway Park Campus, 10 Europa Boulevard, Birkenhead, CH41 4NT",EmployerServices@wmc.ac.uk,0151 551 7610,https://www.wmc.ac.uk/employers,61.5% national achievement rate,Liverpool
REAL SKILLS TRAINING LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10043980?location=Liverpool&distance=10,10043980,10043980,"215 Crosby Road South, Seaforth, Liverpool, L21 4LT",info@real-skills.co.uk,01512576969,https://real-skills.co.uk,50%,Liverpool
CAPITAL 4 TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10038922?location=Newcastle&distance=10,10038922,10038922,"Collingwood Buildings, 38 Collingwood Street, Newcastle Upon Tyne, NE1 1JF",michael.bray@capital4training.org.uk,01912619752,http://www.capital4training.org.uk,61.5% national achievement rate,Newcastle
NEWCASTLE UPON TYNE CITY COUNCIL,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10004601?location=Newcastle&distance=10,10004601,10004601,"Civic Centre, Newcastle Upon Tyne, NE1 8QH",nclapprenticeships@newcastle.gov.uk,0191 2773506,http://www.newcastlecitylearning.ac.uk/index.php/employers,61.5% national achievement rate,Newcastle
TRS TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10039242?location=Sheffield&distance=10,10039242,10039242,"4 Micklehead Business Village, St. Michaels Road, St. Helens, WA9 4YU",info@trstraining.net,01744809010,http://www.trstrainingltd.com,61.5% national achievement rate,Sheffield
SOUTH WEST ASSOCIATION OF TRAINING PROVIDERS LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10032119?location=Bristol&distance=10,10032119,10032119,"Blackbrook Park Avenue, Taunton, TA1 2PX",info@swatpro.org.uk,01392437659,https://www.swatpro.org.uk/training/business-and-leadership-skills/,61.5% national achievement rate,Bristol
MILLBROOK MANAGEMENT SERVICES LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10005264?location=Nottingham&distance=10,10005264,10005264,"Trent Valley Business Centre, 28 High Street, Long Eaton, Nottingham, NG10 1LL",LawrenceTurton@prostartuk.co.uk,01159468182,http://www.prostartuk.co.uk,61.5% national achievement rate,Nottingham
REMIT GROUP LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10023047?location=Nottingham&distance=10,10023047,10023047,"4 Orchard Place, Nottingham Business Park, Nottingham, NG8 6PX",info@remit.co.uk,01159759550,https://www.remit.co.uk/employers/,61.5% national achievement rate,Nottingham
ACCESS TRAINING (EAST MIDLANDS) LTD,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10010584?location=Leicester&distance=10,10010584,10010584,"Cawley House, 149-155 Canal Street, Nottingham, NG1 7HR",info@atem.co.uk,01159587257,http://www.atem.co.uk,61.5% national achievement rate,Leicester
COVENTRY CITY COUNCIL,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10001723?location=Coventry&distance=10,10001723,10001723,"Council House, Earl Street, Coventry, CV1 5RR",Ben.Roughton@coventry.gov.uk,07795269651,http://www.coventry.gov.uk/info/58/adult_education/2291/apprenticeships,80%,Coventry
AURELIA TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000452?location=Coventry&distance=10,10000452,10000452,"The Butts Park Arena, The Butts, Coventry, CV1 3GE",info@aureliatraining.com,01926511855,https://www.aureliatraining.com/business-and-administration/,61.5% national achievement rate,Coventry
BPIF TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10034212?location=Coventry&distance=10,10034212,10034212,"Unit 2, Villiers Court, Meriden Business Park Copse Drive, Coventry, CV5 9RN",training@bpif.org.uk,01676526060,https://bpif.training/,61.5% national achievement rate,Coventry
BRADFORD CITY COUNCIL,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000850?location=Bradford&distance=10,10000850,10000850,"City Hall, Centenary Square, Bradford, BD1 1HY",businessdevelopment@bradford.gov.uk,01274433648,https://www.skills-for-work.co.uk/,61.5% national achievement rate,Bradford
HALIFAX OPPORTUNITIES TRUST,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10013225?location=Bradford&distance=10,10013225,10013225,"Hanson Lane, Halifax, HX1 5PG",diane.illingworth@regen.org.uk,07732499826,https://www.halifaxopportunitiestrust.org.uk,40%,Bradford
AXIA SOLUTIONS LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000470?location=Stoke-on-Trent&distance=10,10000470,10000470,"Unit 1, Riverside 2, Campbell Road, Stoke-On-Trent, ST4 4RJ",apprenticeships@axia-solutions.com,01782 572777,https://axia-solutions.co.uk/training-and-apprenticeships/apprenticeships/team-leading,100%,Stoke-on-Trent
STOKE ON TRENT COLLEGE,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10006349?location=Stoke-on-Trent&distance=10,10006349,10006349,"Cauldon Campus, Stoke Road, Stoke-On-Trent, ST4 2DG",business@stokecoll.ac.uk,01782 603603,http://www.stokecoll.ac.uk/apprenticeships/,100%,Stoke-on-Trent
NEWCASTLE AND STAFFORD COLLEGES GROUP,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10004603?location=Stoke-on-Trent&distance=10,10004603,10004603,"Knutton Lane, Newcastle, ST5 2GB",apprenticeships@nscg.ac.uk,01782254287,https://nscg.ac.uk/study/course-departments/business-professional-studies/team-leader-supervisor-advanced-apprenticeship-standard,61.5% national achievement rate,Stoke-on-Trent
Nova Training,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10027272?location=Wolverhampton&distance=10,10027272,10027272,"3 Lower Lichfield Street, Willenhall, WV13 1PX",info@novatraining.co.uk,01902716100,https://novatraining.co.uk/employers/apprenticeships,67%,Wolverhampton
DUDLEY COLLEGE OF TECHNOLOGY,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10007924?location=Wolverhampton&distance=10,10007924,10007924,"The Broadway, Dudley, DY1 4AS",employerservices@dudleycol.ac.uk,01384 363 808,https://dudleycol.ac.uk/apprentices/,61.5% national achievement rate,Wolverhampton
P.T.P. TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10011880?location=Wolverhampton&distance=10,10011880,10011880,"Essex Terrace, Intown, Walsall, WS1 1SQ",skills@ptp-training.co.uk,03332408302,http://www.ptp-training.co.uk,61.5% national achievement rate,Wolverhampton
IN-COMM TRAINING AND BUSINESS SERVICES LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10003280?location=Wolverhampton&distance=10,10003280,10003280,"12 Vigo Place, Walsall, WS9 8UG",sales@in-comm.co.uk,01922457686,https://www.in-comm.co.uk,61.5% national achievement rate,Wolverhampton
PLYMOUTH CITY COUNCIL,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10005126?location=Plymouth&distance=10,10005126,10005126,"Ballard House, West Hoe Road, Plymouth, PL1 3BJ",info@oncoursesouthwest.co.uk,01752660713,www.oncoursesouthwest.co.uk,,Plymouth
ACHIEVEMENT TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10000099?location=Plymouth&distance=10,10000099,10000099,"Norwich Union House, 2 St. Andrews Cross, Plymouth, PL1 1DN",admissions@achievementtraining.com,01752 202266,https://achievementtraining.com/apprenticeships/team-leader-supervisor-apprenticeship-standard-level-3/,100%,Plymouth
FOCUS TRAINING (SW) LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10026590?location=Plymouth&distance=10,10026590,10026590,"Yeoford Way, Marsh Barton Trading Estate, Exeter, EX2 8LB",enquiries@thefocustraininggroup.com,01752 348980,http://www.thefocustraininggroup.com,100%,Plymouth
GREENLIGHT TRAINING LIMITED,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10080843?location=Plymouth&distance=10,10080843,10080843,"Bergstrand House, Parkwood Close, Roborough, Plymouth, PL6 7SG",rmusgrove@greenlightsc.co.uk,07414288643,www.greenlightsc.co.uk,100%,Plymouth
SOUTH HAMPSHIRE COLLEGE GROUP,https://findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/105/providers/10007928?location=Southampton&distance=10,10007928,10007928,"Bishopsfield Road, Fareham, PO14 1NH",business@shcg.ac.uk,01329 815 153,https://shcg.ac.uk/business-partnerships/,61.5% national achievement rate,Southampton
