Name,Category,Address,Rating,Latest report,URN
Bournemouth University,Other further education and skills,"Poole House, Talbot Campus, Fern Barrow, Poole, Dorset, BH12 5BB",Outstanding,15 July 2024,133792
Bright Bees Nursery Ltd,Independent Learning Provider,"Phoenix House, 1 King Street, Leicester, LE1 6RN",Outstanding,05 August 2024,2654129
Brighton Hove and Sussex Sixth Form College,Sixth Form College,"205 Dyke Road, Hove, East Sussex, BN3 6EG",Outstanding,06 February 2023,130669
Brunel University,Other further education and skills,"Kingston Lane, Uxbridge, UB8 3PH",Outstanding,12 March 2024,133897
Burton and South Derbyshire College,General Further Education and Tertiary,"Lichfield Street, Burton-on-Trent, Staffordshire, DE14 3RL",Outstanding,05 December 2023,130809
Bygrove Primary School,Independent Learning Provider,"Bygrove Street, London, E14 6DN",Outstanding,04 July 2024,2691903
Callywith College,16-19 academy,"Old Callywith Road, Bodmin, Cornwall, PL31 2GT",Outstanding,08 May 2024,144740
CAPA College,16-19 academy,"Mulberry Way, Wakefield, West Yorkshire, WF1 2QN",Outstanding,18 March 2022,145869
Cardinal Newman College,Sixth Form College,"LARK HILL ROAD, AVENHAM, PRESTON, LANCASHIRE, PR1 4HD",Outstanding,29 March 2023,130745
Carmel College,Sixth Form College,"Prescot Road, St Helens, Merseyside, WA10 3AG",Outstanding,22 January 2025,130489
Chadsgrove Educational Trust Specialist College,Independent Specialist College,"Meadow Road, Catshill, Bromsgrove, Worcestershire, B61 0JL",Outstanding,17 May 2022,144729
City Lit,General Further Education and Tertiary,"Keeley Street, Covent Garden, London, WC2B 4BA",Outstanding,03 July 2023,130401
City of Sunderland College,General Further Education and Tertiary,"Bede Centre, Durham Road, Sunderland, Tyne and Wear, SR3 4AH",Outstanding,26 November 2024,131347
Civil Ceremonies Limited,Independent Learning Provider,"Unit 1 Shield Office Centre, 186a Station Road, Burton Latimer, Kettering, NN15 5NT",Outstanding,30 September 2024,1248008
Cliffe House Day Nurseries Limited,Independent Learning Provider,"Cliffe House Day Nursery, Back Featherbank Terrace, Horsforth, Leeds, LS18 4SZ",Outstanding,12 August 2025,2741629
Code Institute Limited,Independent Learning Provider,"483 Green Lanes, London, N13 4BS",Outstanding,04 March 2025,2748193
Collinge & Co Training Limited,Independent Learning Provider,"43 Castle Street, Liverpool, L2 9SH",Outstanding,19 July 2024,50411
Condover College Limited,Independent Specialist College,"Grafton Centre, Grafton, Montford Bridge, Shrewsbury, Shropshire, SY4 1HF",Outstanding,21 March 2024,131857
Consalia Limited,Independent Learning Provider,"The Glasshouse, 5a Hampton Road, Hampton Hill, Hampton, TW12 1JN",Outstanding,21 March 2024,2643279
Cornwall College,General Further Education and Tertiary,"Corporate Headquarters, Cornwall College St Austell, Tregonissey Road, St Austell, Cornwall, PL25 4DJ",Outstanding,17 March 2025,130627
Creating Tomorrow College,Independent Specialist College,"Iron Mountain, Floor 2 Unit 2, Symmetry Way, Symmetry Park, Kettering, Northamptonshire, NN14 1FQ",Outstanding,15 July 2025,149250
CSR Scientific Training Limited,Independent Learning Provider,"1b Mitre Court, 38 Lichfield Road, Sutton Coldfield, West Midlands, B74 2LZ",Outstanding,25 April 2025,1276261
Debut Training Academy Limited,Independent Learning Provider,"38 High Street, Wickford, Essex, SS12 9AZ",Outstanding,08 August 2024,1237224
Decidebloom Limited,Employer Provider,"Omega Boulevard, Capitol Park Thorne, Doncaster, DN8 5TX",Outstanding,16 September 2021,1276536
"Dixons Sixth Form, Bradford",16-19 academy,"Bowling Old Lane, Bradford, West Yorkshire, BD5 7JR",Outstanding,03 July 2023,143704
Doreen Bird College of Performing Arts Ltd.,Dance and Drama Schools and Colleges,"Alma Road, Sidcup, Kent, DA14 4ED",Outstanding,13 March 2024,50701
Dyson Technical Training Limited,Employer Provider,"11 Tetbury Hill, Malmesbury, Wiltshire, SN16 0RP",Outstanding,30 May 2024,2691304
East Lancashire Learning Group,General Further Education and Tertiary,"Scotland Road, Nelson, Lancashire, BB9 7YT",Outstanding,28 January 2025,130738
East London Arts & Music,16-19 academy,"Maltings Close, Bromley By Bow, London, E3 3TA",Outstanding,14 June 2024,141095
EKC Group,General Further Education and Tertiary,"Ramsgate Road, Broadstairs, Kent, CT10 1PN",Outstanding,05 May 2023,130728
Elliott Hudson College,16-19 academy,"The White Rose Office Park, Millshaw Park Lane, Leeds, West Yorkshire, LS11 0LT",Outstanding,12 June 2024,141940
Elmhurst Ballet School,Dance and Drama Schools and Colleges,"249 Bristol Road, Edgbaston, Edgbaston, Birmingham, West Midlands, B5 7UH",Outstanding,24 November 2023,50032
English National Ballet School Limited,Dance and Drama Schools and Colleges,"Carlyle Building, Hortensia Road, SW10 0QS",Outstanding,09 May 2024,51731
Ernst and Young LLP,Employer Provider,"1 Colmore Square, Birmingham, B4 6HQ",Outstanding,15 July 2024,2643278
Esher Sixth Form College,16-19 academy,"Weston Green Road, Thames Ditton, Surrey, KT7 0JB",Outstanding,18 November 2022,145006
Exceed Training Company Limited,Independent Learning Provider,"13 Crown Street, Halifax, HX1 1TT",Outstanding,27 March 2024,2654187
Exeter College,General Further Education and Tertiary,"Hele Road, Exeter, Devon, EX4 4JS",Outstanding,25 January 2023,130645
Exeter Mathematics School,16-19 academy,"ROUGEMONT HOUSE, CASTLE ROAD, EXETER, DEVON, EX4 3PU",Outstanding,08 May 2024,140971
First Intuition Cambridge Limited,Independent Learning Provider,"35 Hills Road, Cambridge, CB2 1NT",Outstanding,17 August 2022,1278598
First Intuition Chelmsford Limited,Independent Learning Provider,"Halford House, 2 Coval Lane, Chelmsford, CM1 1TD",Outstanding,02 December 2021,1278627
First Intuition Limited,Independent Learning Provider,"160 Drummond Street, London, NW1 2PL",Outstanding,04 February 2022,1278665
First Intuition South Limited,Independent Learning Provider,"Reading Bridge House, Fifth Floor (South Wing), Reading, RG1 8LS",Outstanding,12 September 2022,1278620
Francesco Group (Holdings) Limited,Independent Learning Provider,"Woodings Yard, 4 Bailey Street, Stafford, ST17 4BG",Outstanding,09 December 2024,51895
Fuel Learning Limited,Independent Learning Provider,"Unit 6, Meashm Lodge Business Park, Gallows Lane, Swadlincote, DE12 7HA",Outstanding,07 July 2025,1276450
Generation You Employed,Independent Learning Provider,"1 High Street, Egham, TW20 9HJ",Outstanding,18 September 2024,2691326
Godalming College,16-19 academy,"Tuesley Lane, Godalming, Surrey, GU7 1RS",Outstanding,21 January 2025,145004
Great Oaks Charitable Trust T/A Great Oaks College,Independent Specialist College,"Gresham Road, Hounslow, Hounslow, Middlesex, TW3 4BX",Outstanding,19 June 2023,147303
Greenhead College,Sixth Form College,"Greenhead Road, Huddersfield, West Yorkshire, HD1 4ES",Outstanding,17 March 2025,130538
Harington School,16-19 academy,"Huntsmans Drive, Catmose Campus, Oakham, Rutland, LE15 6RP",Outstanding,29 April 2025,141965
Harris Clapham Sixth Form,16-19 academy,"73 Kings Avenue, London, SW4 8DX",Outstanding,15 January 2025,148555
Harris Westminster Sixth Form,16-19 academy,"Steel House, 11 Tothill Street, Westminster, London, SW1H 9LH",Outstanding,11 October 2024,140939
Hartpury College,General Further Education and Tertiary,"Hartpury University and Hartpury College, Hartpury House, Gloucester, GL19 3BE",Outstanding,26 April 2024,146555
Hawk Management (UK) Limited,Independent Learning Provider,"Hawk Training, Regal House, 70 London Road, TWICKENHAM, TW1 3QS",Outstanding,23 May 2023,52147
HCRG Care Services Limited,Independent Learning Provider,"Progressive House, The Heath Business Park, RUNCORN, Cheshire, WA7 4QX",Outstanding,09 November 2021,1278613
Hereford College of Arts,General Further Education and Tertiary,"Folly Lane, Hereford, Herefordshire, HR1 1LT",Outstanding,30 November 2023,130714
Hereford Sixth Form College,16-19 academy,"Folly Lane, Hereford, Herefordshire, HR1 1LU",Outstanding,20 March 2023,143929
Herefordshire and Worcestershire Group Training Association Limited,Independent Learning Provider,"Holmer Road, Hereford, HR4 9SX",Outstanding,28 February 2025,52179
Hugh Baird College,General Further Education and Tertiary,"Balliol Road, Bootle, Merseyside, L20 7EW",Outstanding,22 January 2025,130490
IBM United Kingdom Limited,Employer Provider,"Ibm Mp098, Hursley Park, Hursley, Winchester, SO21 2JN",Outstanding,26 January 2022,2494963
Itchen College,Sixth Form College,"Middle Road, Bitterne, Southampton, Hampshire, SO19 7TB",Outstanding,22 November 2024,130704
JCB Academy,Independent Learning Provider,"Mill Street, Rocester, Uttoxeter, Staffordshire, ST14 5JX",Outstanding,14 July 2025,2527510
Joseph Chamberlain Sixth Form College,Sixth Form College,"Belgrave Road, Highgate, Birmingham, West Midlands, B12 9FF",Outstanding,07 February 2024,130468
Kent School of Veterinary Nursing Limited,Independent Learning Provider,"Ground floor unit 13, Jubilee Way, Faversham, ME13 8GD",Outstanding,01 December 2023,2654205
King's College London Maths School,16-19 academy,"80 Kennington Road, London, SE11 6NJ",Outstanding,11 November 2024,140564
Kleek Apprenticeships Limited,Independent Learning Provider,"55 Duke Street, Darlington, DL3 7SD",Outstanding,07 December 2021,54248
Lancaster University School of Mathematics,16-19 academy,"67-69 London Road, Preston, Lancashire, PR1 4BA",Outstanding,10 June 2025,149099
LDN Apprenticeships Ltd,Independent Learning Provider,"278-280 South Lambeth Road, London, SW8 1UJ",Outstanding,16 August 2021,1276252
League Football Education,Independent Learning Provider,"EFL House, 10 – 12 West Cliff, Preston, PR1 8HU",Outstanding,27 April 2023,52949
Leeds City Council,Adult and Community Learning,"Employment and Skills Service, Floor 10 (West), Merrion House, Leeds, LS2 8BB",Outstanding,25 January 2024,52985
Leeds Teaching Hospitals NHS Trust,Employer Provider,"Leeds Dental Institute, Clarendon Way, Leeds, LS2 9LU",Outstanding,21 September 2022,52988
Lite (Stockport) Limited,Independent Learning Provider,"23 Fletcher Street, Stockport, Cheshire, SK1 1DY",Outstanding,12 July 2024,53068
Logistics Skills and Consultancy Ltd,Independent Learning Provider,"Unit C24, Tromso Close, Tyne Tunnel Trading Estate, North Shields, NE29 7XH",Outstanding,17 July 2024,2674143
London Academy of Excellence,16-19 academy,"Broadway House, 322 High Street, Stratford, London, E15 1AJ",Outstanding,15 May 2024,138403
London Academy of Excellence Tottenham,16-19 academy,"Lilywhite House, 780 High Road, Tottenham, London, N17 0BX",Outstanding,28 January 2022,144753
Loreto College,Sixth Form College,"Chichester Road, Hulme, Manchester, M15 5PB",Outstanding,08 February 2023,130503
Mary P's Ltd,Independent Learning Provider,"Mary P's Ltd, Ashchurch Parkway, Tewkesbury, GL20 8TU",Outstanding,30 October 2023,2654226
MBKB Ltd,Independent Learning Provider,"Trading Office, 4 Parsons Street, Dudley, DY1 1JJ",Outstanding,31 August 2022,1270933
Melton Vale Sixth Form College,16-19 academy,"Burton Road, Melton Mowbray, Leicestershire, LE13 1DN",Outstanding,18 May 2023,145158
Mike Taylor Education,Independent Learning Provider,"MTE Hair and Barbering Academy, 8 Tatnam Crescent Poole Dorset B, Poole, Dorset, BH15 2HG",Outstanding,23 October 2024,2730908
Mountview Academy of Theatre Arts Limited,Dance and Drama Schools and Colleges,"Kingfisher Place, Clarendon Road, N22 6XF",Outstanding,11 November 2015,53432
Multiverse Group Limited,Independent Learning Provider,"Floors 5/6, 2 Eastbourne Terrace, London, W2 6LG",Outstanding,24 September 2021,1276443
National Grid PLC,Employer Provider,"Eakring Training Centre, Kirklington Road, Eakring, Newark, NG22 0DA",Outstanding,04 September 2025,53457
NC Group Ltd,Independent Learning Provider,"Unit 3 & 4, Parsons Court, Welbury Way, Newton Aycliffe, Durham, DL5 6ZE",Outstanding,21 February 2025,2741641
New City College,General Further Education and Tertiary,"Poplar High Street, Poplar, London, E14 0AF",Outstanding,01 May 2025,130418
New College Bradford,16-19 academy,"Nelson Street, Bradford, West Yorkshire, BD5 0DX",Outstanding,19 October 2023,143689
New College Doncaster,16-19 academy,"Hurst Lane, Auckley, Doncaster, South Yorkshire, DN9 3HG",Outstanding,25 January 2022,144714
New College Pontefract,16-19 academy,"Park Lane, Pontefract, West Yorkshire, WF8 4QR",Outstanding,06 July 2023,144732
Newcastle and Stafford Colleges Group,General Further Education and Tertiary,"Knutton Lane, Newcastle-under-Lyme, Staffordshire, ST5 2GB",Outstanding,12 November 2024,130812
"Newham Collegiate Sixth Form Centre, City of London Academy",16-19 academy,"326 Barking Road, East Ham, London, E6 2BB",Outstanding,30 November 2021,144511
NHS England North East and Yorkshire,Independent Learning Provider,"Stella House, Goldcrest Way, Newcastle Upon Tyne, NE15 8NY",Outstanding,14 August 2024,59195
Northcoders Limited,Independent Learning Provider,"17 Marble Street, Manchester, M2 3AW",Outstanding,26 June 2025,2656426
Northern Powergrid (Yorkshire) Plc,Employer Provider,"Kepier Training Centre, Kepier Farm, Durham, DH1 1LB",Outstanding,24 August 2022,2495222
Northern School of Contemporary Dance,Other further education and skills,"98 Chapeltown Road, Leeds, West Yorkshire, LS7 4BH",Outstanding,17 December 2014,133840
Notre Dame Catholic Sixth Form College,Sixth Form College,"St Mark's Avenue, Leeds, West Yorkshire, LS2 9BL",Outstanding,15 November 2024,130548
Oakwood Specialist College,Independent Specialist College,"7/9 Oak Park Villas, 7/9 Oak Park Villas, Dawlish, Devon, EX7 0DE",Outstanding,16 May 2025,131947
One Sixth Form College,16-19 academy,"Scrivener Drive, Pinewood, Ipswich, Suffolk, IP8 3SU",Outstanding,21 June 2022,142283
Orchard Hill College,Independent Specialist College,"Copthall House, 9 the Pavement, Grove Road, Sutton, SM1 1DA",Outstanding,06 May 2025,131948
Orpheus Centre,Independent Specialist College,"North Park Lane, Godstone, Surrey, RH9 8ND",Outstanding,11 June 2024,131950
Peter Symonds College,Sixth Form College,"Owens Road, Winchester, Hampshire, SO22 6RX",Outstanding,09 December 2024,130708
Poplar Housing and Regeneration Community Association Limited,Independent Learning Provider,"The Hive, 167a East India Dock Road, LONDON, E14 0EA",Outstanding,25 March 2022,1270753
Portland College,Independent Specialist College,"Nottingham Road, Portland College, Mansfield, Nottinghamshire, NG18 4TJ",Outstanding,16 March 2023,131959
Professional Apprenticeships Ltd,Independent Learning Provider,"Filwood Green Business Park, 1 Filwood Park Lane, Bristol, BS4 1ET",Outstanding,06 October 2023,2625247
Public Relations Communications Association Limited,Independent Learning Provider,"7 Stratford Place, London, W1C 1AY",Outstanding,10 February 2025,2730914
Queen Elizabeth Sixth Form College,16-19 academy,"Vane Terrace, Darlington, County Durham, DL3 7AU",Outstanding,25 November 2024,150514
Queen Mary University of London,Other further education and skills,"Mile End Road, London, E1 4NS",Outstanding,15 November 2024,133813
Redbridge Institute of Adult Education,Adult and Community Learning,"Redbridge Institute, Gaysham Avenue, Ilford, Essex, IG2 6TD",Outstanding,15 July 2024,53141
Remit Group Limited,Independent Learning Provider,"4 Orchard Place, Nottingham Business Park, Nottingham, NG8 6PX",Outstanding,21 August 2023,58614
Richard Huish College,16-19 academy,"South Road, Taunton, Somerset, TA1 3DZ",Outstanding,21 June 2022,148791
Riverside College Halton,General Further Education and Tertiary,"Kingsway, Widnes, Cheshire, WA8 7QQ",Outstanding,13 June 2024,130622
Rochdale Sixth Form College,16-19 academy,"College Road, Rochdale, Lancashire, OL12 6HY",Outstanding,06 December 2022,144463
Royal College Manchester (Seashell Trust),Independent Specialist College,"Stanley Road, Cheadle Hulme, Cheadle, Cheshire, SK8 6RQ",Outstanding,11 December 2024,139218
Searegs Training Ltd,Independent Learning Provider,"Turnchapel Wharf, Barton Road, Plymouth, PL9 9RQ",Outstanding,03 June 2025,2730915
Seymour House Ltd,Employer Provider,"140 Broomfield Road, Chelmsford, CM1 1RN",Outstanding,27 August 2025,2765327
Shrewsbury College,Sixth Form College,"Priory Road, Shrewsbury, Shropshire, SY1 1RX",Outstanding,14 April 2025,130800
Sir Isaac Newton Sixth Form Free School,16-19 academy,"The Old Fire Station, 30 Bethel Street, Norwich, Norfolk, NR2 1NR",Outstanding,14 December 2023,139896
Sir John Deane's Sixth Form College,16-19 academy,"Monarch Drive, Northwich, CW9 8AF",Outstanding,25 November 2022,145748
Skills for Independence and Employability Ltd,Independent Specialist College,"Cage Green Road, Tonbridge, Kent, TN10 4PT",Outstanding,30 June 2023,146546
Specsavers Optical Superstores Limited,Employer Provider,"Forum 6, Solent Business Park, Fareham, PO15 7PA",Outstanding,22 September 2023,1223881
Sporting Futures Training (UK) Ltd,Independent Learning Provider,"Business & Technology Centre, Bessemer Drive, Stevenage, Hertfordshire, SG1 2DX",Outstanding,01 November 2021,1278643
St Dominic's Sixth Form College,Sixth Form College,"Mount Park Avenue, Harrow-on-the-Hill, Middlesex, HA1 3HX",Outstanding,05 March 2025,130443
St John Rigby RC Sixth Form College,Sixth Form College,"Gathurst Road, Orrell, Wigan, Lancashire, WN5 0LJ",Outstanding,19 March 2024,130523
St Piers College (Young Epilepsy),Independent Specialist College,"St Piers Lane, Lingfield, Surrey, RH7 6PW",Outstanding,15 March 2024,141241
Stubbing Court Training Limited,Independent Learning Provider,"Ashgate Cottage, Old Brampton, Chesterfield, S42 7JE",Outstanding,12 July 2022,54649
Sumo Digital Ltd.,Employer Provider,"Unit 37, 800 Brightside Lane, Sheffield, South Yorkshire, S9 2RX",Outstanding,25 March 2025,2701043
Tarmac Trading Limited,Employer Provider,"National Skills and Safety Park, Nether Langwith, Mansfield, NG20 9JQ",Outstanding,07 September 2023,2654242
Teesside University,Other further education and skills,"Borough Road, Middlesbrough, TS1 3BA",Outstanding,12 March 2025,133894
The Best Connection Group Limited,Employer Provider,"The Best Connection Group Ltd, 9 Birmingham Street, Halesowen, Birmingham, B63 3HN",Outstanding,19 January 2024,2674164
The Curious Lounge C.I.C. (trading as The Curious Academy),Independent Learning Provider,"The Curious Lounge, 1st Floor, Pinnacle, 20 Tudor Road, Reading, RG1 1NH",Outstanding,29 August 2025,2748204
The David Lewis Centre,Independent Specialist College,"Mill Lane, Warford, Mill Lane, Alderley Edge, Cheshire, SK9 7UD",Outstanding,27 April 2023,131860
The Education Training Collective,General Further Education and Tertiary,"Harvard Avenue, Thornaby, Stockton-on-Tees, Cleveland, TS17 6FB",Outstanding,13 May 2025,130576
The Educationwise Academy Ltd,Independent Learning Provider,"Engine Shed, Station Approach, Redcliffe, Bristol, BS1 6QH",Outstanding,08 August 2022,2539263
The Football Association Premier League Limited,Independent Learning Provider,"57 North Wharf Road, Paddington, London, W2 1HQ",Outstanding,04 September 2023,54842
The Hammond,Dance and Drama Schools and Colleges,"Hoole Bank House, Mannings Lane, Hoole Bank, Chester, CH2 4ES",Outstanding,03 May 2024,54859
The Hive College,Independent Specialist College,"Perry Common Road, Birmingham, West Midlands, B23 7AT",Outstanding,15 December 2023,142915
The JGA Group,Independent Learning Provider,"Unit 201 2nd Floor Metroline House, 118-122 College Road, Harrow, Middlesex, HA1 1BQ",Outstanding,03 September 2025,52598
The London Screen Academy,16-19 academy,"Highbury Grove, London, N5 2AG",Outstanding,10 July 2023,146031
The Manchester Metropolitan University,Other further education and skills,"All Saints Building, Oxford Road, Manchester, M15 6BH",Outstanding,30 November 2022,133844
The Northern School of Art,General Further Education and Tertiary,"Newport Road, Middlesbrough, TS1 1LA",Outstanding,21 February 2025,130571
The NVQ Training Centre Limited,Independent Learning Provider,"Hastingwood Industrial Park, Wood Lane, Erdington, Birmingham, B24 9QR",Outstanding,21 November 2023,1278585
The Oxford School of Drama,Dance and Drama Schools and Colleges,"Sansoms Farm Studios, Wootton, Woodstock, OX20 1ER",Outstanding,13 June 2024,53771
The Sixth Form College Farnborough,16-19 academy,"Prospect Avenue, Farnborough, Hampshire, GU14 8JX",Outstanding,22 October 2021,145057
The Urdang Academy,Dance and Drama Schools and Colleges,"The Old Finsbury Town Hall, Rosebery Avenue, EC1R 4RP",Outstanding,13 November 2015,50029
The White Rose School Of Beauty And Complementary Therapies Limited,Independent Learning Provider,"Windsor House, Cornwall Road, HARROGATE, North Yorkshire, HG1 2PW",Outstanding,22 March 2019,1248024
Thomas Rotherham College,16-19 academy,"Moorgate Road, Rotherham, South Yorkshire, S60 2BE",Outstanding,13 May 2024,145230
Treloar College,Independent Specialist College,"Powell Drive, Holybourne, Alton, Hants, Hampshire, GU34 4GL",Outstanding,07 March 2023,132980
Trinity Sixth Form Academy,16-19 academy,"Northgate House, Halifax, West Yorkshire, HX1 1UN",Outstanding,11 November 2021,139433
TTE Training Limited,Independent Learning Provider,"New Horizons House, New Bridge Road, Ellesmere Port, Cheshire, CH65 4LT",Outstanding,07 July 2023,55113
Universal Skills Centre Ltd,Independent Learning Provider,"Units 41-43, Monckton Industrial Estate, Denby Dale Road, Wakefield, West Yorkshire, WF2 7AL",Outstanding,17 March 2023,57463
University Centre Somerset College Group,General Further Education and Tertiary,"Bath Road, Bridgwater, Somerset, TA6 4PZ",Outstanding,20 January 2025,130803
University of Cambridge,Other further education and skills,"Vice Chancellor's Office, University Offices, The Old Schools, Cambridge, CB2 1TN",Outstanding,24 October 2024,133801
University of Huddersfield,Other further education and skills,"Lockside, Queensgate, Huddersfield, West Yorkshire, HD1 3DH",Outstanding,23 November 2023,133822
University of Liverpool Mathematics School,16-19 academy,"Sir Alastair Pilkington Building, Back Bedford Street, Liverpool, L69 7SH",Outstanding,10 May 2024,147477
Waltham Forest College,General Further Education and Tertiary,"Forest Road, Walthamstow, London, E17 4JB",Outstanding,07 May 2024,130456
Waterton Academy Trust,Independent Learning Provider,"Walton Primary Academy, The Grove, Wakefield, WF2 6LD",Outstanding,17 July 2024,2691325
Weir Training Limited,Independent Learning Provider,"Alpha 319, Building K Ground Floor, Chobham Business Centre, Chertsey Road, Chobham, Surrey, GU24 8JB",Outstanding,03 September 2025,55295
West Suffolk College,General Further Education and Tertiary,"Out Risbygate, Bury St Edmunds, Suffolk, IP33 3RL",Outstanding,18 December 2024,130818
West Thames College,General Further Education and Tertiary,"London Road, Isleworth, Middlesex, TW7 4HS",Outstanding,23 January 2025,130447
Winstanley College,Sixth Form College,"Winstanley Road, Billinge, Wigan, Lancashire, WN5 7XF",Outstanding,13 March 2025,130522
Wiser Academy Ltd,Independent Learning Provider,"Suite 3, Norman Court Barns, Norman Court Lane, Andover, SP11 7HB",Outstanding,16 March 2022,1278659
Woking College,16-19 academy,"Rydens Way, Woking, Surrey, GU22 9DL",Outstanding,28 November 2022,145007
Woodhouse College,16-19 academy,"Woodhouse Road, London, N12 9EY",Outstanding,20 July 2022,148421
Woodpecker Court,Independent Specialist College,"Woodpecker Court, 45 Wigmore Lane, Eythorne, Dover, Kent, CT15 4BF",Outstanding,15 March 2024,147958
Wyke Sixth Form College,Sixth Form College,"Bricknell Avenue, Hull, HU5 4NT",Outstanding,29 November 2023,130581
Xaverian College,Sixth Form College,"Lower Park Road, Manchester, M14 5RB",Outstanding,09 May 2023,130504
