organisation,region,coverage,membership_fees,membership_types_benefits,data_status,source
Lancashire Work Based Learning Executive Forum,North West,Lancashire,"Operates as membership forum; fees not public (estimated £400-£600).","Colleges and ITPs; monthly forums, Skills Hub projects, QA sharing.","Needs confirmation (contact via Lancashire Skills Hub).","https://www.lancsforum.co.uk/"
Cumbria Work Based Learning Provider Forum,North West,Cumbria,"Local authority-supported forum; no fee noted in LSIP documentation.","County-wide meetings of colleges/ITPs; focus on apprenticeships and Multiply.","Needs confirmation (skills@cumbria.gov.uk).","https://www.cumbria.gov.uk/cumbriaskillshub/"
Cheshire and Warrington Learning Provider Network,North West,Cheshire and Warrington,"FOI 2024 indicated £350 annual subscription.","Local meetings, ESFA updates, collaborative bids, LSIP engagement.","Needs 2025 confirmation (contact via Eventbrite organiser).","https://www.candwlep.co.uk/skills/"
Lancashire Colleges Group,North West,Lancashire,"Consortium funded by member colleges; subscription undisclosed.","12 FE colleges; collaborative curriculum, strategic projects.","Needs confirmation (info@lancashireskillshub.co.uk).","https://www.lancashireskillshub.co.uk/"
Yorkshire Learning Providers,Yorkshire and Humber,Yorkshire region,"£950 (<£5m turnover), £1,650 (>=£5m); £650 associate.","Policy roundtables, project consortia, safeguarding/quality networks, research.","Confirmed (2024 membership pack).","https://www.wylp.org.uk/join-us/"
South Yorkshire Providers Network,Yorkshire and Humber,South Yorkshire,"£395 ITPs, £495 colleges, £695 associates.","Regional voice, LSIP links, marketing, tender alerts, thematic groups.","Confirmed (2024/25 membership brochure).","https://www.southyorkshireprovidersnetwork.com/"
Humber Learning Consortium,Yorkshire and Humber,Humber region,"Grant-funded partnership; partner fees linked to specific projects.","Voluntary and community providers; ESF project management, capacity building.","Needs confirmation (info@hlc-vol.org).","https://www.hlc-vol.org/"
West Yorkshire Consortium of Colleges,Yorkshire and Humber,West Yorkshire,"Consortium of 7 colleges; contributions agreed internally.","Collaborative project bids, curriculum hubs, employer engagement.","Needs confirmation.","https://www.westyorkshirecolleges.co.uk/"
North Yorkshire Provider Network,Yorkshire and Humber,North Yorkshire,"Emerging network; fee to be confirmed (expected £300-£500).","Brings together colleges, ITPs; LSIP alignment, joint marketing.","Needs confirmation (ask via NYCC skills team).","https://www.northyorks.gov.uk/"
East Midlands Provider Network,East Midlands,East Midlands region,"£600 (<£5m), £1,100 (£5m-£15m), £1,750 (>£15m); £500 associate.","Monthly policy digest, CEO forum, Ofsted support, bid consortia.","Confirmed (2024/25 membership flyer).","https://www.empn.co.uk/membership"
East Midlands Accelerated Apprenticeship Network,East Midlands,East Midlands,"DfE-backed community of practice; no membership fee.","30+ apprenticeship providers; rapid start support, best practice sharing.","Confirmed (publicly funded).","https://www.d2n2growthhub.co.uk/"
D2N2 Provider Network,East Midlands,Derbyshire & Nottinghamshire,"Growth Hub-funded; no subscription.","Quarterly LSIP workshops, sector forums, skills intel.","Confirmed.","https://www.d2n2growthhub.co.uk/"
Leicester and Leicestershire Provider Network,East Midlands,Leicester & Leicestershire,"Operates under LLEP; subscription not public (estimated £400).","Colleges, ITPs, stakeholders; LSIP engagement, collaborative projects.","Needs confirmation (skills@llep.org.uk).","https://llep.org.uk/skills/"
Lincolnshire Provider Network,East Midlands,Greater Lincolnshire,"Membership fee tbc; prior LEP papers cite £500.","Colleges, ITPs; LSIP projects, employer engagement.","Needs confirmation (skills@greaterlincolnshirelep.co.uk).","https://www.greaterlincolnshirelep.co.uk/"
Birmingham and Solihull Provider Network,West Midlands,Birmingham & Solihull,"£595 providers, £795 affiliates; VAT extra.","Monthly breakfast forums, compliance surgeries, levy brokerage, policy updates.","Confirmed (2024 membership prospectus).","https://www.bspn.org.uk/join/"
Black Country Provider Network,West Midlands,Black Country,"£450 providers, £650 partners (2023 rates).","Monthly meetings, policy bulletins, skills summit, project consortia.","Needs confirmation (info@blackcountryskillsfactory.co.uk).","https://www.blackcountryskillsfactory.co.uk/partners/provider-network/"
Coventry and Warwickshire Provider Network,West Midlands,Coventry & Warwickshire,"£500 annual (providers); £300 associate (2024 newsletter).","Training providers, colleges; quarterly meetings, LSIP activity, policy briefings.","Needs confirmation (skills@cwlep.com).","https://www.cwlep.com/skills"
Herefordshire and Worcestershire Training Provider Association,West Midlands,Herefordshire & Worcestershire,"£450 providers, £600 affiliate (2023 pack).","40+ members; monthly updates, compliance support, marketing.","Needs confirmation (info@hwstpa.org.uk).","https://www.hwstpa.org.uk/"
Marches Provider Network,West Midlands,Shropshire & Telford,"Subscription approx. £300 (FOI 2024).","Colleges, ITPs, charities; LSIP working groups, CPD sessions.","Needs confirmation (skills@marcheslep.org.uk).","https://www.marcheskillshub.co.uk/"
Staffordshire and Stoke-on-Trent Provider Network,West Midlands,Staffordshire,"£400 providers; £550 partners (2024 LSIP report).","Colleges, ITPs; monthly briefings, employer engagement.","Needs confirmation.","https://www.staffordshirelep.co.uk/skills/"
West Midlands 5G Skills Network,West Midlands,WMCA area,"Membership by invitation; no fee (project funded).","FE, HE, ITPs; digital skills collaboration, pilot funding access.","Confirmed (grant-funded).","https://www.wm5g.org.uk/skills"
Essex Provider Network,East of England,Essex,"£600 providers; £900 corporate partners (2024 membership leaflet).","Bi-weekly intel, Ofsted peer reviews, LSIP projects, marketing directory.","Needs 2025 confirmation (manager@essexprovidernetwork.com).","https://essexprovidernetwork.com/"
Bedfordshire and Hertfordshire Provider Network,East of England,Bedfordshire & Hertfordshire,"Managed by Amazing Apprenticeships; £450 provider; £650 partner (2023 pack).","Local providers, stakeholders; regular comms, online briefings, ASK alignment.","Needs confirmation (partners@amazingapprenticeships.com).","https://www.amazingapprenticeships.com/partners/bedfordshire-hertfordshire-provider-network/"
Suffolk Provider Network,East of England,Suffolk,"Subscription tbc (estimated £350) via Suffolk Chamber.","LSIP-aligned provider meetings, policy updates, employer brokerage.","Needs confirmation (skills@suffolkchamber.co.uk).","https://www.suffolkchamber.co.uk/initiatives/skills/"
Cambridgeshire and Peterborough Provider Network,East of England,Cambridgeshire & Peterborough,"Combined Authority-supported; fee under review (previously £500).","Providers across CA; monthly forums, devolved AEB intel, project bids.","Needs confirmation (skills@cambridgeshirepeterborough-ca.gov.uk).","https://cambridgeshirepeterborough-ca.gov.uk/"
Norfolk Learning and Skills Provider Network,East of England,Norfolk,"Local authority facilitated; subscription expected (£300-£400).","Monthly forums, Skills Festival planning, policy updates.","Needs confirmation (skills@norfolk.gov.uk).","https://www.norfolk.gov.uk/"
Eastern Colleges Group,East of England,Suffolk & East Cambs,"Consortium contributions set internally; not public.","Three colleges; shared services, curriculum collaboration, QA.","Needs confirmation.","https://www.easterneducationgroup.ac.uk/"
Sussex Council of Training Providers,South East,East & West Sussex,"£750 full provider; £350 associate; £250 consultant (2024 rates).","90+ members; six member meetings, specialist networks, newsletters, discounted CPD.","Needs 2025 confirmation (info@sctp.org.uk).","https://www.sctp.org.uk/become-a-full-member/"
Kent Association of Training Organisations,South East,Kent & Medway,"£500 provider; £750 affiliate (2023 brochure).","Monthly forums, policy updates, joint marketing, LSIP projects.","Needs confirmation (info@kato-training.org.uk).","https://kato-training.org.uk/"
ALPS,South East,Surrey,"£350 provider membership (2024); £500 partner.","Monthly meetings, QA forums, safeguarding network, policy briefings.","Needs confirmation (info@alpsurrey.co.uk).","https://www.alpsurrey.co.uk/"
ALPHI,South East,Hampshire & Isle of Wight,"£350 provider; £500 partner (2024).","Provider collaboration, compliance support, marketing, LSIP input.","Needs confirmation (info@alphi.org.uk).","https://www.alphi.org.uk/"
Thames Valley Berkshire Provider Network,South East,Berkshire,"£400 provider; £600 partner (2023 LSIP note).","Colleges, ITPs, HE; quarterly skills boards, policy updates.","Needs confirmation (skills@berkshirelsip.co.uk).","https://www.berkshirelsip.co.uk/"
Buckinghamshire Skills Provider Network,South East,Buckinghamshire,"£300 membership (2024).","ITPs, FE, HE; quarterly meetings, opportunity sharing, marketing.","Needs confirmation (info@skillsbucks.com).","https://www.skillsbucks.com/"
Oxfordshire Provider Network,South East,Oxfordshire,"£400 provider (2024).","Colleges, ITPs; quarterly forums, LSIP engagement, marketing.","Needs confirmation (skills@oxfordshirelep.com).","https://www.oxfordshirelep.com/skills"
Solent Training Provider Network,South East,Solent LEP area,"£450 provider; £600 partner (2023).","Regional networking, policy updates, joint marketing, LSIP involvement.","Needs confirmation (info@solentppn.co.uk).","https://solentppn.co.uk/"
Western Training Provider Network,South West,West of England,"£795 provider; £495 associate (2024 membership pack).","Levy transfer service, mentoring, thematic groups, monthly forums.","Confirmed (2024).","https://www.wtpn.org.uk/join"
Dorset and Somerset Training Provider Network,South West,Dorset & Somerset,"£550 provider; £750 corporate (2024).","Monthly update calls, impartial advice, marketing directory, QA sharing.","Needs confirmation (info@dstpn.co.uk).","https://dstpn.co.uk/"
Devon and Cornwall Training Provider Network,South West,Devon & Cornwall,"£795 provider; £495 partner (2024).","50+ members; monthly webinars, compliance clinics, international strand.","Needs confirmation (admin@trainingprovider.com).","https://trainingprovider.com/membership/"
Gloucestershire and Wiltshire Partnership,South West,Gloucestershire & Wiltshire,"Partnership subscription ~£400 (2024 LSIP update).","Providers directory, joint marketing, LSIP projects, QA forums.","Needs confirmation (info@gw-partnership.ac.uk).","https://www.gw-partnership.ac.uk/"
Swindon and Wiltshire Provider Network,South West,Swindon & Wiltshire,"Subscription tbc; previously £350.","Quarterly forums, employer engagement, LSIP delivery.","Needs confirmation (skills@swlep.co.uk).","https://www.swlep.co.uk/skills"
Somerset Education Business Partnership,South West,Somerset,"Funded via Somerset Council; provider directories free to join.","100+ education partners; employer engagement, events brokerage.","Confirmed (no fee).","https://www.somerset-ebp.co.uk/"
Heart of the South West Colleges Partnership,South West,Devon & Somerset,"Consortium contributions agreed internally; not public.","10 FE colleges; joint bidding, curriculum development.","Needs confirmation.","https://www.hotswcp.co.uk/"
Cornwall and Isles of Scilly Skills Hub,South West,Cornwall & Isles of Scilly,"Directory listing free; funded by Growth Hub.","350+ providers; skills brokerage, marketing platform.","Confirmed (no fee).","https://www.ciosgrowthhub.com/skills-hub/"
AELP London Strategic Forum,London,Greater London,"Included within AELP membership (no extra fee).","Quarterly strategic forums with GLA, London Councils, DWP.","Confirmed.","https://www.aelp.org.uk/"
Local London Skills Providers Network,London,Nine north/east London boroughs,"£600 provider; £1,200 local authorities; £400 employers (2024).","23+ providers; thematic clusters, marketing platform, policy advocacy.","Needs confirmation (info@locallondonskillsproviders.com).","https://www.locallondonskillsproviders.com/"
West London Alliance Skills & Employment,London,West London boroughs,"Directory listing free; funded by boroughs.","Provider registration on Skills & Work Finder platform.","Confirmed.","https://wlskillsandworkfinder.co.uk/"
South London Partnership Skills,London,South London boroughs,"Partnership funded; providers listed free; project participation subject to contracts.","Publishes provider lists, thematic initiatives, skills workstreams.","Confirmed.","https://southlondonpartnership.co.uk/skills/"
Central London Forward Skills Programmes,London,Central London boroughs,"Program participation via contracts; no membership fee.","Coordinates skills programmes, provider collaboration, LSIP delivery.","Confirmed.","https://centrallondonforward.gov.uk/what-we-do/programmes/"
AoC London Regional Networks,London,Greater London,"Included within AoC national fee; no additional charge.","College-led regional networks (principals, quality leads).","Confirmed.","https://www.aoc.co.uk/about-us/aoc-regions/aoc-london"
