organisation,event_name,start_date,end_date,format,location,audience_focus,member_price,non_member_price,status,source,notes
Yorkshire Learning Providers,"Business Development Forum",2025-11-26,2025-11-26,Online,"Virtual","Employer engagement and BD leads","0","0","Scheduled (members only)","https://www.wylp.org.uk/events/","Free member forum; next date 26.11.25."
Yorkshire Learning Providers,"Safeguarding & Prevent Forum",2025-11-13,2025-11-13,Online,"Virtual","Safeguarding leads","0","0","Scheduled (members only)","https://www.wylp.org.uk/events/","Free member forum; next date 13.11.25."
Yorkshire Learning Providers,"Women in FE Leadership Circle",2025-11-10,2025-11-10,Online,"Virtual","Women leaders across FE","0","0","Scheduled (members only)","https://www.wylp.org.uk/events/","Free member forum; next date 10.11.25."
Western Training Provider Network,"Apprenticeships West Webinar: Apprenticeship basics and Q&A",2025-11-19,2025-11-19,Online,"Virtual","Parents, employer engagement, funding leads","0","0","Scheduled (open, free)","https://www.wtpn.org.uk/events/apprenticeships-west-webinar-apprenticeship-basics-and-a-q-a","Open access webinar for regional stakeholders."
SCTP,"2025/26 Members' Meetings & CPD Programme",,,,"Hybrid (Sussex)","Quality, funding, safeguarding leads","Included in membership","£45-£130 (non-member day rates)","Awaiting updated schedule","https://www.sctp.org.uk/events-calendar/","2025 dates due Q4 2024; request via info@sctp.org.uk."
KATO,"2025 Provider Forums & Kent Skills Summit",,,,"Hybrid (Kent)","Quality and funding managers","Included in membership","Summit day rate ~£120 (2024)","Awaiting updated schedule","https://kato-training.org.uk/","Updated programme pending confirmation."
ALPS,"2025 Quality & Safeguarding Network",,,,"In person & online (Surrey)","Quality managers, DSLs","Included in membership","Guest rate £50","Awaiting updated schedule","https://www.alpsurrey.co.uk/events/","Contact info@alpsurrey.co.uk for calendar."
ALPHI,"2025 Leadership Forums",,,,"Hybrid (Hampshire & IoW)","Quality, funding, curriculum managers","Included in membership","Guest rate £45","Awaiting updated schedule","https://www.alphi.org.uk/events/","Programme to be issued post-AGM."
Essex Provider Network,"2025 Members Meetings & Skills Showcase",,,,"Hybrid (Essex)","Quality & funding managers, principals","Included in membership","Showcase delegate £110 (2024)","Awaiting updated schedule","https://essexprovidernetwork.com/events/","Calendar request submitted to manager@essexprovidernetwork.com."
East Midlands Provider Network,"EMP Network Monthly Member Hours",,,,"Online","Quality, funding, compliance leads","Included in membership","Invite only","Awaiting updated schedule","https://www.empn.co.uk/events","2025 calendar due following AGM."
East Midlands Provider Network,"2025 Annual Conference",2025-06-12,2025-06-12,"In person","Nottingham (TBC)","Leaders, quality managers","150","225","Tentative date (subject to confirmation)","https://www.empn.co.uk/events","Provisional date based on 2024 cycle; awaiting formal confirmation."
Western Training Provider Network,"2025 Skills Summit",,,,"In person (Bristol)","Quality, funding and curriculum managers","180","225","Awaiting updated schedule","https://www.wtpn.org.uk/events","2025 date to be published Q1 2025."
Devon and Cornwall Training Provider Network,"2025 Annual Convention",,,,"In person (Devon/Cornwall)","Quality, funding, performance leads","160","210","Awaiting updated schedule","https://trainingprovider.com/events/","Programme to be announced Spring 2025."
Dorset and Somerset Training Provider Network,"2025 Member Summits",,,,"Hybrid (Dorset & Somerset)","Quality, funding managers","Included in membership","Non-member £75","Awaiting updated schedule","https://dstpn.co.uk/events/","Request sent to info@dstpn.co.uk."
Birmingham and Solihull Provider Network,"Monthly Breakfast Briefings",,,,"In person (Birmingham)","Quality, funding, operations managers","Included in membership","£65 guest rate","Rolling schedule – request latest","https://www.bspn.org.uk/events","Contact hello@bspn.org.uk for dates."
Black Country Provider Network,"2025 Skills Summit",,,,"In person (Black Country)","Quality and funding leaders","145","195","Awaiting updated schedule","https://www.blackcountryskillsfactory.co.uk/partners/provider-network/","2025 summit date pending confirmation."
Local London Skills Providers Network,"2025 Annual Conference",2025-07-03,2025-07-03,"In person","London (TBC)","Quality, funding, performance managers","150","195","Tentative date (subject to confirmation)","https://www.locallondonskillsproviders.com/events","Provisional based on 2024 timings; awaiting final confirmation."
Local London Skills Providers Network,"Monthly Skills Clusters",,,,"Hybrid (borough rotations)","Curriculum, quality managers","Included in membership","Invite only","Rolling schedule – request latest","https://www.locallondonskillsproviders.com/events","Cluster timetables circulated direct to members."
Greater Manchester Learning Provider Network,"2025/26 Member Forums",,,,"Hybrid (Greater Manchester)","Quality, funding, compliance leads","Included in membership","Visitor day rate ~£95","Awaiting updated schedule","https://gmlpn.co.uk/upcoming-events/","Calendar requested from chloe.r@gmlpn.co.uk."
Greater Merseyside Learning Providers Federation,"2025 Quality & Compliance Clinics",,,,"Online & in person (Liverpool City Region)","Quality and funding managers","Included in membership","Visitor day rate ~£110","Awaiting updated schedule","https://www.gmlpf.net/events/","Awaiting response from info@gmlpf.net."
Lancashire Work Based Learning Executive Forum,"2025 Forum Meetings",,,,"In person (Lancashire)","Quality and curriculum managers","Included in membership","Invite only","Awaiting updated schedule","https://www.lancsforum.co.uk/","Calendar handled via Lancashire Skills Hub."
Cheshire and Warrington LPN,"2025 Network Briefings",,,,"Hybrid (Cheshire & Warrington)","Quality, funding, performance managers","Included in membership","Visitor £60","Awaiting updated schedule","https://www.eventbrite.co.uk/o/cheshire-and-warrington-learning-provider-network-83278445843","Next cycle to be published Jan 2025."
Tees Valley Learning Provider Network,"2025 Members Meetings",,,,"Hybrid (Tees Valley)","Quality, funding managers","Included in membership","Visitor £50","Awaiting updated schedule","https://tvlpn.co.uk/events/","Request sent to info@tvlpn.co.uk."
North East Learning Providers,"2025 Conference & Briefings",,,,"Hybrid (North East)","Quality, funding, employer engagement leads","Conference £175 (2024)","225","Awaiting updated schedule","https://www.nelp.co.uk/events","Awaiting AGM confirmation."
Sussex Council of Training Providers,"2025 Summer Members' Conference",2025-06-18,2025-06-18,"In person","Brighton (TBC)","Quality, funding, safeguarding managers","130","175","Tentative date (subject to confirmation)","https://www.sctp.org.uk/events-calendar/","Date based on prior cycle; awaiting official announcement."
Sussex Council of Training Providers,"Bi-monthly Member Meetings",,,,"Hybrid (Sussex)","Quality and funding managers","Included in membership","£60 guest rate","Rolling schedule – request latest","https://www.sctp.org.uk/events-calendar/","Dates circulated to members."
Association of Colleges,"AoC Annual Conference and Exhibition 2025",2025-11-18,2025-11-19,"In person","ICC Birmingham","College principals, quality & funding leaders","515","615","Announced – booking via AoC","https://www.aoc.co.uk/events-training/annualconference-exhibition","Rates based on 2024 pricing; AoC to confirm 2025 delegate fees."
Association of Colleges,"AoC Finance Conference 2026",2026-03-12,2026-03-13,"In person","London (TBC)","Finance directors, funding managers","365","465","Tentative date (subject to confirmation)","https://www.aoc.co.uk/events-training/events","Awaiting publication of 2026 booking details; dates inferred from recurring schedule."
