organisation_slug,organisation_name,member_name,member_location,member_type,member_website,source_url
aoc,Association of Colleges (AoC),Birmingham Metropolitan College,West Midlands,Member,https://www.bmet.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bishop Auckland College,North East,Member,http://www.bacoll.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bishop Auckland College,North East,Member,http://www.bacoll.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bishop Burton College,Yorkshire & Humberside,Member,http://www.bishopburton.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bishop Burton College,Yorkshire & Humberside,Member,http://www.bishopburton.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bishop Burton College,Yorkshire & Humberside,Member,http://www.bishopburton.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Blackburn College,North West,Member,http://www.blackburn.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Blackpool and The Fylde College,North West,Member,http://www.blackpool.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Blackpool and the Fylde College,North West,Member,http://www.blackpool.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bolton College,North West,Member,https://www.boltoncc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bolton College,North West,Member,https://www.boltoncc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Bolton College,North West,Member,https://www.boltoncc.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
